iter	Passed	Remaining
0	136	136517
1	137	68809
2	138	46139
3	139	34809
4	141	28159
5	143	23726
6	144	20470
7	145	18043
8	146	16171
9	147	14637
10	148	13388
11	150	12365
12	151	11465
13	152	10726
14	153	10085
15	154	9517
16	156	9020
17	156	8559
18	158	8179
19	159	7819
20	160	7498
21	161	7192
22	162	6910
23	163	6653
24	164	6425
25	165	6209
26	166	6011
27	167	5821
28	168	5648
29	169	5493
30	171	5353
31	172	5217
32	173	5087
33	174	4965
34	175	4845
35	176	4734
36	177	4627
37	178	4529
38	180	4436
39	181	4345
40	182	4261
41	183	4188
42	184	4112
43	185	4037
44	186	3964
45	187	3896
46	189	3835
47	190	3772
48	191	3710
49	192	3650
50	193	3595
51	194	3542
52	195	3492
53	196	3445
54	197	3397
55	198	3350
56	199	3306
57	200	3261
58	202	3225
59	203	3186
60	204	3146
61	205	3107
62	206	3069
63	207	3032
64	208	2998
65	209	2964
66	210	2932
67	211	2900
68	212	2869
69	213	2839
70	214	2812
71	216	2784
72	217	2757
73	218	2730
74	219	2704
75	220	2681
76	221	2656
77	222	2631
78	223	2608
79	224	2587
80	226	2564
81	227	2542
82	227	2515
83	228	2494
84	229	2473
85	230	2451
86	231	2432
87	233	2416
88	234	2400
89	235	2382
90	236	2363
91	237	2344
92	238	2328
93	239	2311
94	241	2297
95	242	2280
96	243	2264
97	244	2249
98	245	2235
99	246	2222
100	247	2206
101	248	2191
102	249	2176
103	250	2162
104	252	2149
105	253	2135
106	254	2122
107	255	2108
108	256	2095
109	257	2083
110	258	2072
111	259	2059
112	260	2046
113	261	2034
114	262	2022
115	263	2011
116	264	1997
117	265	1984
118	266	1975
119	267	1963
120	268	1953
121	269	1940
122	270	1930
123	271	1921
124	273	1913
125	274	1904
126	275	1893
127	276	1883
128	277	1876
129	279	1868
130	280	1859
131	281	1850
132	282	1840
133	283	1831
134	284	1823
135	285	1815
136	286	1806
137	288	1799
138	289	1790
139	290	1783
140	291	1776
141	292	1767
142	293	1760
143	294	1752
144	295	1744
145	297	1738
146	298	1731
